chrom	source	feature	pos1	pos2	strand	gene_id	gene_name	gene_type	all_padj	p1_padj	12w_padj
chr11	HAVANA	gene	53200684	53201058	+	ENSMUSG00000058073.4	RP23-337J7.2	processed_pseudogene	0.993751613178015	NA	0.962962590596461
chr10	HAVANA	gene	50592669	50851485	+	ENSMUSG00000038774.9	Ascc3	protein_coding	0.993752563856167	0.99364378648359	0.972654044633146
chr7	HAVANA	gene	104263386	104288094	-	ENSMUSG00000060441.15	Trim5	protein_coding	0.99375268220762	0.997812753899908	0.839968838178408
chr5	HAVANA	gene	113075839	113081584	-	ENSMUSG00000029352.14	Crybb3	protein_coding	0.993752819378449	0.947454154917215	NA
chr3	HAVANA	gene	105727267	105801336	-	ENSMUSG00000068798.10	Rap1a	protein_coding	0.9937534963427	0.944204489609977	0.994003050433916
chr17	HAVANA	gene	25374285	25433783	-	ENSMUSG00000024112.16	Cacna1h	protein_coding	0.993753807228581	0.998309683307739	0.959455834582411
chr4	HAVANA	gene	107367784	107416346	+	ENSMUSG00000028614.14	Ndc1	protein_coding	0.993753845611239	0.99355280301097	0.959613910956599
chr10	HAVANA	gene	62781757	62783187	-	ENSMUSG00000112806.1	RP24-550H10.3	TEC	0.993754806276907	0.993451182725914	NA
chr19	ENSEMBL	gene	24919916	24961616	-	ENSMUSG00000024878.8	Cbwd1	protein_coding	0.993755477702455	0.995696599362663	0.965833042463489
chr7	HAVANA	gene	96202896	96203536	-	ENSMUSG00000108528.1	RP24-269P21.1	processed_pseudogene	0.993755622785595	NA	NA
chr5	HAVANA	gene	53905164	53909218	+	ENSMUSG00000107182.1	RP24-196M24.2	TEC	0.993756300187832	0.996025880605689	0.959000186951959
chr11	HAVANA	gene	115584255	115604051	-	ENSMUSG00000020740.13	Gga3	protein_coding	0.993756510668265	0.995939231561228	0.968105283634459
chr2	HAVANA	gene	172440556	172469908	+	ENSMUSG00000027502.11	Rtfdc1	protein_coding	0.993756755330181	0.993245362312509	0.958774959568498
chr2	HAVANA	gene	14174523	14221993	+	ENSMUSG00000061531.8	Tmem236	protein_coding	0.993757116241194	NA	NA
chr4	HAVANA	gene	118471191	118490061	-	ENSMUSG00000033191.14	Tie1	protein_coding	0.993757830553622	0.810336931285531	0.995810884753433
chr6	HAVANA	gene	34179232	34186392	+	ENSMUSG00000087613.1	RP23-11P24.4	lincRNA	0.993757925880519	0.987872067422078	0.992385876925409
chr14	HAVANA	gene	27481090	27508460	-	ENSMUSG00000046753.10	Ccdc66	protein_coding	0.993758188474503	0.99383057645554	0.972488484117221
chr4	HAVANA	gene	154142372	154167420	+	ENSMUSG00000029029.14	Wrap73	protein_coding	0.9937588766893	0.995754256165096	0.953756603261463
chrX	HAVANA	gene	8038611	8038996	-	ENSMUSG00000080877.1	Rpl22-ps1	processed_pseudogene	0.99376040326874	0.971916954567347	0.993959524825088
chr11	HAVANA	gene	120464866	120467607	-	ENSMUSG00000057594.12	Arl16	protein_coding	0.99376075403076	0.993573730042593	0.989003437862889
chr9	HAVANA	gene	123634770	123678885	-	ENSMUSG00000036814.13	Slc6a20a	protein_coding	0.993763537758177	0.993074647895905	0.94857309401665
chr3	HAVANA	gene	104945272	104961921	-	ENSMUSG00000027840.5	Wnt2b	protein_coding	0.993764702027583	0.998595508114568	0.960098618265938
chr11	HAVANA	gene	60226714	60352905	-	ENSMUSG00000000538.18	Tom1l2	protein_coding	0.993764787563968	0.966770271513717	0.992384631805467
chr13	HAVANA	gene	33879816	33905708	-	ENSMUSG00000052180.15	Serpinb6c	protein_coding	0.993765251422113	NA	NA
chr13	HAVANA	gene	35990861	35991520	-	ENSMUSG00000114251.1	Tmed10-ps	processed_pseudogene	0.993765680843404	0.997972630481841	0.959256616052703
chr9	HAVANA	gene	107773559	107873237	-	ENSMUSG00000032582.14	Rbm6	protein_coding	0.993765767367661	0.996871809520926	0.961180448170863
chr12	HAVANA	gene	26300964	26415254	-	ENSMUSG00000020642.13	Rnf144a	protein_coding	0.993766585414344	0.996064032441983	0.96658870716105
chr4	HAVANA	gene	119169513	119174195	-	ENSMUSG00000045268.13	Zfp691	protein_coding	0.993766696172935	0.995581830520065	0.786183560919275
chr3	HAVANA	gene	32510259	32520833	+	ENSMUSG00000027667.13	Zfp639	protein_coding	0.993766875359961	0.997602661889426	0.966149392651964
chr11	HAVANA	gene	117825924	117839908	+	ENSMUSG00000017718.15	Afmid	protein_coding	0.993767254074278	0.997736447427942	0.961648194804861
chr18	HAVANA	gene	46560235	46597535	-	ENSMUSG00000033184.14	Tmed7	protein_coding	0.993767507141909	0.993648665554521	0.988580208126026
chr18	HAVANA	gene	37843601	37935476	-	ENSMUSG00000024456.16	Diaph1	protein_coding	0.99376862135094	0.631104494859183	0.988206250156829
chr7	HAVANA	gene	132032687	132154739	-	ENSMUSG00000030862.13	Cpxm2	protein_coding	0.993769096554224	0.900331871664183	0.987668492162775
chr1	HAVANA	gene	9574548	9575649	+	ENSMUSG00000081441.3	AC103620.1	processed_pseudogene	0.993769102175341	0.959928734039828	0.996967516621302
chr12	HAVANA	gene	37241641	37582202	+	ENSMUSG00000050103.18	Agmo	protein_coding	0.99376924813728	0.997506875657608	0.959571247748905
chr6	HAVANA	gene	86195223	86275719	+	ENSMUSG00000029999.14	Tgfa	protein_coding	0.993769278619481	0.998080166612236	0.811173879640596
chr10	HAVANA	gene	75937723	75940672	-	ENSMUSG00000050157.6	RP23-167L1.8	protein_coding	0.99376987651933	NA	0.973532201247994
chr1	HAVANA	gene	14753346	14755992	-	ENSMUSG00000025930.6	Msc	protein_coding	0.993770208457818	0.994717023480632	NA
chr7	HAVANA	gene	84613766	84689959	-	ENSMUSG00000030629.15	Zfand6	protein_coding	0.993770227725076	0.996495469663748	0.9603917604445
chr19	HAVANA	gene	7864388	7966027	-	ENSMUSG00000067656.13	Slc22a27	protein_coding	0.993770268625097	0.998044556218808	0.960801908776516
chr1	HAVANA	gene	169497934	169531464	-	ENSMUSG00000026683.14	Nuf2	protein_coding	0.993770988562391	0.994964871545241	0.976507864597307
chr9	HAVANA	gene	63898265	63898802	+	ENSMUSG00000110768.1	RP23-193N1.2	processed_pseudogene	0.993771005272041	0.996248113906207	0.973529061545008
chr3	HAVANA	gene	30012379	30054808	+	ENSMUSG00000085702.8	Mecomos	antisense	0.993771169174046	0.996969912350667	0.958736476478561
chr2	HAVANA	gene	163685004	163692279	-	ENSMUSG00000087129.1	RP23-144O20.4	antisense	0.99377149865696	0.999842389968728	NA
chr3	HAVANA	gene	57841895	57848079	-	ENSMUSG00000027805.16	Pfn2	protein_coding	0.993771501890767	0.314914173218252	0.987939950364154
chr7	HAVANA	gene	45648591	45666394	-	ENSMUSG00000055978.5	Fut2	protein_coding	0.993771622936281	0.991447565905656	NA
chr2	HAVANA	gene	117121374	117182279	+	ENSMUSG00000027351.14	Spred1	protein_coding	0.993772625145561	0.99660359192361	0.959393557063374
chr11	ENSEMBL	gene	6200029	6201643	+	ENSMUSG00000096923.1	A730071L15Rik	protein_coding	0.993773080010273	NA	NA
chr1	HAVANA	gene	55088132	55091307	+	ENSMUSG00000073676.4	Hspe1	protein_coding	0.993773579004574	0.995628708173558	0.966819835006316
chr4	HAVANA	gene	141625734	141664899	-	ENSMUSG00000028917.14	Plekhm2	protein_coding	0.99377384580701	0.99697752879344	0.960367397864413
chr11	HAVANA	gene	58171661	58179565	+	ENSMUSG00000020514.8	Mrpl22	protein_coding	0.993774003437206	0.971924496586112	0.958782419435608
chr4	HAVANA	gene	40143081	40198338	+	ENSMUSG00000028405.9	Aco1	protein_coding	0.99377419491644	0.84666809243246	0.995752427529546
chr2	HAVANA	gene	90677215	90736328	+	ENSMUSG00000051329.13	Nup160	protein_coding	0.993774889966074	0.980583636442038	0.742361564516651
chr14	HAVANA	gene	65919394	65953935	-	ENSMUSG00000034463.4	Scara3	protein_coding	0.993775290509556	0.994195514507486	0.965863293327921
chr7	HAVANA	gene	25816654	25820654	+	ENSMUSG00000097017.1	RP24-191C15.3	lincRNA	0.993775734586811	0.998799874285343	0.961380208882414
chr10	HAVANA	gene	31413815	31414165	-	ENSMUSG00000110960.1	RP23-88C11.5	processed_pseudogene	0.993775966151431	0.911450074820268	0.987951527573073
chrX	HAVANA	gene	52912266	52956943	+	ENSMUSG00000025626.16	Phf6	protein_coding	0.993776692317137	0.987733457704977	0.982992094905714
chr5	HAVANA	gene	93183856	93185758	-	ENSMUSG00000106870.1	RP24-470E5.9	TEC	0.993777077208691	0.954045826378793	0.996952881946143
chr8	HAVANA	gene	47713266	47715021	+	ENSMUSG00000097706.1	RP23-189N8.3	antisense	0.99377765738076	0.996140567029418	0.97846480647438
chrX	HAVANA	gene	166390033	166440704	-	ENSMUSG00000040586.8	Ofd1	protein_coding	0.993777901586746	0.994928375829943	0.95887733723388
chr2	HAVANA	gene	90894634	90904827	-	ENSMUSG00000005510.9	Ndufs3	protein_coding	0.993778786288893	0.997912768921906	0.961438816573974
chr9	HAVANA	gene	36813133	36813874	-	ENSMUSG00000098985.1	RP24-570C10.6	processed_pseudogene	0.993779918730716	0.987782364131543	0.999546446194081
chrX	HAVANA	gene	48341358	48408049	+	ENSMUSG00000036959.15	Bcorl1	protein_coding	0.993779924027137	0.766042586520983	0.758253905360768
chr12	HAVANA	gene	8873187	8893473	-	ENSMUSG00000042976.6	RP23-344H23.1	lincRNA	0.993780259430201	0.995299908479945	NA
chr17	ENSEMBL	gene	5841328	5931033	+	ENSMUSG00000002365.9	Snx9	protein_coding	0.993781012253774	0.994233070146975	0.989729267629888
chr16	HAVANA	gene	22985854	23029101	-	ENSMUSG00000060459.13	Kng2	protein_coding	0.993781634674336	0.850203903517734	0.961262442226292
chr14	HAVANA	gene	70654246	70766628	-	ENSMUSG00000022100.14	Xpo7	protein_coding	0.993781748427914	0.972879718499718	0.993992701108633
chr19	HAVANA	gene	41845972	41848132	-	ENSMUSG00000047604.3	Frat2	protein_coding	0.993782131044188	0.932165454066773	0.993820681401282
chr11	HAVANA	gene	102838473	102880985	-	ENSMUSG00000020929.14	Eftud2	protein_coding	0.993782373499069	0.997755066615577	0.960489367453743
chr19	ENSEMBL	gene	21778342	21858327	+	ENSMUSG00000024754.12	Tmem2	protein_coding	0.993783022342037	0.998505651755691	0.961024329726979
chr11	HAVANA	gene	103171107	103198901	+	ENSMUSG00000055805.15	Fmnl1	protein_coding	0.99378351291797	0.810337155464405	0.981550054147798
chrX	HAVANA	gene	95639193	95658509	-	ENSMUSG00000035062.13	Zc4h2	protein_coding	0.993783628860754	0.999707285247801	0.960547135439256
chr2	HAVANA	gene	71453276	71525194	+	ENSMUSG00000041921.16	Metap1d	protein_coding	0.993783806320963	0.995820968217225	0.95910127453972
chr4	HAVANA	gene	141010418	141015984	+	ENSMUSG00000060572.17	Mfap2	protein_coding	0.993784135689964	0.856953224573675	0.987985741304306
chr5	HAVANA	gene	136741759	136883209	-	ENSMUSG00000004415.15	Col26a1	protein_coding	0.993784280307664	0.995747962334147	0.959174410527222
chr7	HAVANA	gene	100176502	100184869	+	ENSMUSG00000035165.14	Kcne3	protein_coding	0.993784777494213	0.99709652707511	0.966146890291793
chr17	HAVANA	gene	24215054	24220851	-	ENSMUSG00000024118.13	RP23-35F19.3	protein_coding	0.99378508131607	0.996768262370267	0.966356047895839
chr12	HAVANA	gene	17266545	17284770	+	ENSMUSG00000020571.12	Pdia6	protein_coding	0.993785082986014	0.994301593613664	0.980010488181012
chr3	HAVANA	gene	89183143	89189295	+	ENSMUSG00000032657.15	Fam189b	protein_coding	0.9937859891179	0.994529940496708	0.974937779394636
chr18	ENSEMBL	gene	46239949	46280850	-	ENSMUSG00000024477.3	Pggt1b	protein_coding	0.993786084216474	0.996647486537371	0.960390240721267
chr9	HAVANA	gene	120955351	121277197	-	ENSMUSG00000040936.15	Ulk4	protein_coding	0.993786284412726	0.99309659911853	0.994052723793944
chr4	HAVANA	gene	57717657	57896984	+	ENSMUSG00000038729.23	Akap2	protein_coding	0.993788081807806	0.994485671941388	0.959095854775203
chr2	HAVANA	gene	77180340	77280592	-	ENSMUSG00000042272.17	Sestd1	protein_coding	0.993788246698034	0.995805594209281	0.972436971236188
chr17	HAVANA	gene	42708936	42742179	-	ENSMUSG00000057899.6	Adgrf2	protein_coding	0.993788351837201	NA	NA
chr16	HAVANA	gene	94570010	94695517	+	ENSMUSG00000022897.14	Dyrk1a	protein_coding	0.993788952179882	0.997709240086714	0.95939728743174
chr19	ENSEMBL	gene	6938069	6942450	-	ENSMUSG00000024958.12	Gpr137	protein_coding	0.993789269065087	0.995308014216956	0.968945325153703
chr5	HAVANA	gene	146832890	146837032	+	ENSMUSG00000041453.12	Rpl21	protein_coding	0.993790277419208	0.160933251420441	0.532606902150573
chr2	HAVANA	gene	25863734	25918273	+	ENSMUSG00000058740.14	Kcnt1	protein_coding	0.993790811964615	0.998149212673392	0.811026188023143
chr12	HAVANA	gene	109603940	109661716	+	ENSMUSG00000097451.10	Rian	processed_transcript	0.993790852058031	0.993147917809667	0.391361621996736
chr11	HAVANA	gene	119448788	119491298	-	ENSMUSG00000109408.1	RP23-25M3.6	processed_transcript	0.99379088272866	0.993341817132443	0.979939893565919
chr2	HAVANA	gene	86020633	86045171	+	ENSMUSG00000045392.8	Olfr1033	protein_coding	0.993791002585592	0.993133945324554	0.987856031870138
chr9	HAVANA	gene	108991778	109032228	+	ENSMUSG00000025648.17	Pfkfb4	protein_coding	0.993791667042057	0.996828242973016	0.94959983642082
chr17	HAVANA	gene	37270220	37274484	+	ENSMUSG00000016206.6	H2-M3	protein_coding	0.993792689417076	0.95405508584179	0.988992323570661
chr10	HAVANA	gene	117629500	117687352	+	ENSMUSG00000020183.11	Cpm	protein_coding	0.993792963704346	0.998119369068105	0.9623351069639
chr2	HAVANA	gene	74711927	74748442	+	ENSMUSG00000079277.9	Hoxd3	protein_coding	0.993792986246219	0.998484372227727	0.959777303166287
chr10	HAVANA	gene	80899450	80900969	-	ENSMUSG00000020219.7	Timm13	protein_coding	0.993793821230639	0.933683105882502	0.958642355955149
chr6	HAVANA	gene	5216258	5220486	-	ENSMUSG00000107881.1	RP23-380L19.3	TEC	0.993794831235143	0.561226234554219	0.423936943825169
chr3	HAVANA	gene	8509360	8561606	+	ENSMUSG00000027500.10	Stmn2	protein_coding	0.993796787600513	0.996716337441089	0.961378120794512
chr4	HAVANA	gene	116596654	116600266	+	ENSMUSG00000034035.18	Ccdc17	protein_coding	0.993796799814213	0.952970805004758	0.999526292051602
chrX	HAVANA	gene	159627272	159978069	+	ENSMUSG00000040990.17	Sh3kbp1	protein_coding	0.99379753395227	0.998147800023114	0.961353552020309
chr6	HAVANA	gene	70215400	70215957	+	ENSMUSG00000094930.2	Igkv6-25	IG_V_gene	0.993798305372242	NA	0.960357680109073
chr3	HAVANA	gene	108202222	108210934	-	ENSMUSG00000048997.17	Atxn7l2	protein_coding	0.9937993972434	0.999016526247882	0.962646458570715
chr12	HAVANA	gene	56712634	57197472	-	ENSMUSG00000035472.14	Slc25a21	protein_coding	0.993799718929105	0.996809177597219	0.962411924829623
chr12	HAVANA	gene	3752543	3762146	-	ENSMUSG00000092286.1	Dtnbos	antisense	0.993800553386286	NA	0.959726124267569
chr17	ENSEMBL	gene	71252176	71310965	-	ENSMUSG00000024053.10	Emilin2	protein_coding	0.99380083564157	0.98770521995625	0.972490871872421
chr12	HAVANA	gene	85272398	85288438	-	ENSMUSG00000008822.15	Acyp1	protein_coding	0.993801308176583	0.998470642582321	0.959990401958214
chr10	HAVANA	gene	5811887	5823910	-	ENSMUSG00000019774.8	Mtrf1l	protein_coding	0.993801996776608	0.998733291626664	0.959724636195137
chr7	HAVANA	gene	119519463	119545551	+	ENSMUSG00000030972.6	Acsm5	protein_coding	0.993802130731751	0.812747401854991	0.968549569508036
chr9	HAVANA	gene	3335140	3391154	+	ENSMUSG00000025899.14	Alkbh8	protein_coding	0.993802637934694	0.999143842599431	0.958726350771551
chr9	HAVANA	gene	31935446	31936800	-	ENSMUSG00000091639.2	RP24-63K13.3	processed_pseudogene	0.993803071487196	0.552902692362594	0.355080209963171
chr5	HAVANA	gene	30913402	30921277	+	ENSMUSG00000029163.9	Emilin1	protein_coding	0.993803275187674	0.165065480368151	0.980011803169041
chr11	HAVANA	gene	70984091	71004437	-	ENSMUSG00000040620.15	Dhx33	protein_coding	0.993804388632598	0.99717672519346	0.966141792433313
chr3	HAVANA	gene	95526786	95556403	+	ENSMUSG00000038642.10	Ctss	protein_coding	0.993804648695052	0.812750941985142	0.995763350818475
chr13	HAVANA	gene	23553262	23560686	+	ENSMUSG00000052565.7	Hist1h1d	protein_coding	0.993805511256629	0.997166121170071	0.962457400405261
chr13	HAVANA	gene	56522472	56537898	+	ENSMUSG00000035509.17	Fbxl21	protein_coding	0.993806915755223	0.994827653457297	0.958495564226493
chr2	HAVANA	gene	145934784	146215039	+	ENSMUSG00000037143.17	Cfap61	protein_coding	0.993807885358889	0.770423330551647	0.961178896195248
chr2	HAVANA	gene	172345565	172355749	+	ENSMUSG00000027495.4	Fam210b	protein_coding	0.993808026134256	0.880606841819571	0.979676926913808
chr7	HAVANA	gene	97594837	97595441	-	ENSMUSG00000108442.1	RP23-473E20.3	processed_pseudogene	0.993808196225739	NA	NA
chr4	HAVANA	gene	132308678	132311024	+	ENSMUSG00000086290.8	Snhg12	lincRNA	0.993808862508139	0.994096769624686	0.780471130975685
chr17	HAVANA	gene	25838457	25844851	-	ENSMUSG00000025733.17	Rhot2	protein_coding	0.993809426999414	0.932861519328489	0.972588631033243
chr18	HAVANA	gene	16274648	16274944	-	ENSMUSG00000063628.2	RP23-314H11.1	processed_pseudogene	0.993809451516909	NA	NA
chr7	HAVANA	gene	142966829	142969264	-	ENSMUSG00000009248.6	Ascl2	protein_coding	0.993810102280198	0.993804006510703	NA
chr2	HAVANA	gene	50380400	50412610	+	ENSMUSG00000115545.1	RP23-360N18.3	lincRNA	0.993810679419536	NA	NA
chr1	HAVANA	gene	86526726	86530712	+	ENSMUSG00000026238.14	Ptma	protein_coding	0.993810746155173	0.27482453453446	0.966411649697353
chr1	HAVANA	gene	120113280	120121078	-	ENSMUSG00000026385.16	Dbi	protein_coding	0.99381093344475	0.998367082211789	0.960332546461131
chr11	HAVANA	gene	115415689	115419962	-	ENSMUSG00000034566.10	Atp5h	protein_coding	0.993811229159643	0.999342445855952	0.960951068100144
chr2	ENSEMBL	gene	113919247	113920562	-	ENSMUSG00000096006.1	Gm21596	processed_pseudogene	0.993811972266576	0.993440189304934	0.990088129552867
chr2	HAVANA	gene	154223742	154240902	+	ENSMUSG00000038572.7	Bpifb5	protein_coding	0.993812548015614	0.935482543561422	NA
chr10	ENSEMBL	gene	62449489	62451322	+	ENSMUSG00000097129.1	4930507D05Rik	protein_coding	0.993813586997723	0.994007824378374	0.993775963569847
chr6	HAVANA	gene	108828641	108859356	+	ENSMUSG00000030104.9	Edem1	protein_coding	0.993813588364567	0.99910175066531	0.95928886847882
chr8	HAVANA	gene	27023261	27040328	+	ENSMUSG00000031483.8	Erlin2	protein_coding	0.993814355325164	0.998524348578767	0.966436303235424
chr11	HAVANA	gene	106394650	106487852	-	ENSMUSG00000020715.9	Ern1	protein_coding	0.993815038224764	0.39283163792189	0.972210365195751
chr12	HAVANA	gene	84285232	84315832	+	ENSMUSG00000072946.12	Ptgr2	protein_coding	0.993815304715871	0.987760589133926	0.99797843533598
chr9	HAVANA	gene	123806475	123811760	+	ENSMUSG00000048521.8	Cxcr6	protein_coding	0.993815611324085	NA	0.96157795977005
chr4	HAVANA	gene	155831272	155833130	+	ENSMUSG00000065990.12	Aurkaip1	protein_coding	0.993816038519125	0.812752378483001	0.839504347724693
chr3	HAVANA	gene	51685907	52105076	-	ENSMUSG00000061143.15	Maml3	protein_coding	0.993817105401778	0.996680620329036	0.959270208148531
chr10	HAVANA	gene	71254980	71285262	-	ENSMUSG00000019927.6	Ube2d1	protein_coding	0.993817279994787	0.997540640788458	0.961558654042498
chr17	ENSEMBL	gene	46772635	46773407	+	ENSMUSG00000062619.5	2310039H08Rik	protein_coding	0.993817344842321	0.997221278232762	0.959837329958265
chr2	HAVANA	gene	175918881	175931100	-	ENSMUSG00000089756.2	RP23-355G16.6	protein_coding	0.993817567432393	0.638826976195972	0.98425415596469
chr19	ENSEMBL	gene	44931119	44983787	+	ENSMUSG00000036097.7	Slf2	protein_coding	0.993820222676839	0.996188585198557	0.96028288144437
chr2	HAVANA	gene	59484653	59505020	+	ENSMUSG00000026989.5	Dapl1	protein_coding	0.993821377793122	0.998543624060938	0.960020595621469
chr8	HAVANA	gene	94377872	94380317	+	ENSMUSG00000089712.2	AC128663.3	lincRNA	0.99382187494099	0.997759856827149	0.959784428694351
chr7	HAVANA	gene	89510007	89511873	+	ENSMUSG00000030623.4	Prss23os	antisense	0.993821912153147	NA	NA
chr5	HAVANA	gene	115333239	115341178	-	ENSMUSG00000029536.8	Gatc	protein_coding	0.993822628062862	0.998991856066162	0.972390011315045
chr19	HAVANA	gene	32757497	32826160	+	ENSMUSG00000013663.7	Pten	protein_coding	0.993823654683973	0.997475069980357	0.968587940009003
chr5	HAVANA	gene	8037294	8052707	-	ENSMUSG00000086528.1	AC140364.2	antisense	0.993824434812988	NA	NA
chr12	HAVANA	gene	17544794	17551505	+	ENSMUSG00000011179.8	Odc1	protein_coding	0.993824691333898	0.884625591093347	0.988078694142505
chr19	HAVANA	gene	29046245	29048729	+	ENSMUSG00000100075.1	RP23-18G1.2	antisense	0.993825199766963	0.998965987505719	0.961324756555687
chr15	HAVANA	gene	103018934	103036852	+	ENSMUSG00000075394.4	Hoxc4	protein_coding	0.993825918199243	0.99548598480367	0.959623391677174
chr17	HAVANA	gene	35113948	35115428	-	ENSMUSG00000043807.6	Ly6g5b	protein_coding	0.993825932888927	0.994577873519363	NA
chr11	HAVANA	gene	74649495	74670847	+	ENSMUSG00000020741.17	Cluh	protein_coding	0.99382674478269	0.976753868236064	0.987464402938221
chr8	HAVANA	gene	60983437	60985908	+	ENSMUSG00000045746.3	RP23-197N18.1	lincRNA	0.993827044252039	NA	0.965883286744557
chr15	HAVANA	gene	79724070	79742536	-	ENSMUSG00000042524.14	Sun2	protein_coding	0.993827054522493	0.993049975762143	0.97350960840062
chr3	HAVANA	gene	88394143	88410331	-	ENSMUSG00000028066.15	Pmf1	protein_coding	0.993827341118563	0.54882463476504	0.979923948148516
chr6	HAVANA	gene	75782358	75782756	-	ENSMUSG00000080824.1	RP23-142G18.1	processed_pseudogene	0.993829214096367	0.998053457293002	0.965861566171338
chr7	HAVANA	gene	127989708	127993867	-	ENSMUSG00000030793.4	Pycard	protein_coding	0.993829697228036	0.995583610303249	0.966374452705993
chr19	ENSEMBL	gene	59322290	59322783	+	ENSMUSG00000067038.5	Rps12-ps3	protein_coding	0.993829964677071	0.9957243713994	0.961188608755283
chr2	HAVANA	gene	27882925	27887052	-	ENSMUSG00000085766.1	RP23-344B24.1	processed_transcript	0.993830306697017	0.993713607863709	NA
chr19	ENSEMBL	gene	3409919	3414472	-	ENSMUSG00000024907.6	Gal	protein_coding	0.993830384268602	0.991452029053014	NA
chr9	HAVANA	gene	108296853	108302302	+	ENSMUSG00000032607.12	Amt	protein_coding	0.993830618086354	0.98782206787278	0.76676502495404
chr7	HAVANA	gene	44229930	44236122	-	ENSMUSG00000038782.6	RP23-184D18.7	protein_coding	0.993830751515962	0.866144590593888	0.980060791581472
chr4	HAVANA	gene	129703164	129742303	-	ENSMUSG00000028790.13	Khdrbs1	protein_coding	0.993831704175445	0.987840686483843	0.999537869410319
chr3	HAVANA	gene	88782943	88832547	-	ENSMUSG00000098912.7	RP23-199B2.4	processed_transcript	0.993832094704587	0.995997117298844	0.958787471576871
chr11	HAVANA	gene	69015911	69036473	+	ENSMUSG00000020898.18	Ctc1	protein_coding	0.993832292060696	0.995824518628129	0.979058267142635
chr3	HAVANA	gene	95862634	95871519	-	ENSMUSG00000054312.6	Mrps21	protein_coding	0.99383274731687	0.99144933093622	0.959234887007159
chr7	HAVANA	gene	104244457	104262234	+	ENSMUSG00000056144.14	Trim34a	protein_coding	0.993832951226995	0.9945086584201	0.96163777171955
chrX	HAVANA	gene	12675369	12762073	-	ENSMUSG00000064127.13	Med14	protein_coding	0.993833224258687	0.974256795747054	0.959508326517377
chr9	HAVANA	gene	48318006	48353454	-	ENSMUSG00000032028.15	Nxpe2	protein_coding	0.993833609371587	0.911129210627704	0.985943847490761
chr4	HAVANA	gene	153373221	153482811	-	ENSMUSG00000039546.9	Ajap1	protein_coding	0.993833797201388	0.987875460726656	NA
chr10	HAVANA	gene	44437177	44528501	-	ENSMUSG00000038151.13	Prdm1	protein_coding	0.99383417137707	0.999554611655474	0.965860042408072
chr7	HAVANA	gene	30555441	30559838	-	ENSMUSG00000036845.12	Lin37	protein_coding	0.993834497354029	0.995697594929819	0.962407608212143
chr4	HAVANA	gene	134525550	134535387	-	ENSMUSG00000046671.18	Mtfr1l	protein_coding	0.99383454752621	0.999486888446065	0.960134571616365
chr12	HAVANA	gene	81376991	81379464	-	ENSMUSG00000072974.4	RP23-454N21.3	protein_coding	0.993835056266253	NA	0.993780920647166
chr2	HAVANA	gene	155381059	155389850	+	ENSMUSG00000038375.15	Trp53inp2	protein_coding	0.993835428795587	0.212582074385613	0.965985077343118
chr17	ENSEMBL	gene	30624354	30875264	+	ENSMUSG00000033826.9	Dnah8	protein_coding	0.993835477470119	0.999119148311054	NA
chr6	HAVANA	gene	54269681	54430221	-	ENSMUSG00000073067.10	RP23-43E4.2	processed_transcript	0.993836416387282	0.966000508190873	0.988067770073815
chr13	HAVANA	gene	101254294	101464160	+	ENSMUSG00000100733.2	RP23-170A19.3	lincRNA	0.993836483730846	NA	0.972463775719334
chr18	ENSEMBL	gene	24470861	24477765	+	ENSMUSG00000024273.7	2700062C07Rik	protein_coding	0.993836537961708	0.993193883052913	0.99901338019131
chr2	HAVANA	gene	121128307	121140653	-	ENSMUSG00000074890.4	Lcmt2	protein_coding	0.993836933662107	0.954050250224992	0.999581780245879
chr5	HAVANA	gene	73311364	73312560	+	ENSMUSG00000107331.1	RP23-153H17.5	TEC	0.993838119693366	0.999276573856606	0.960827350372175
chr6	HAVANA	gene	5264147	5298455	-	ENSMUSG00000032667.17	Pon2	protein_coding	0.993839146732873	0.999308401969288	0.960086424053896
chr7	HAVANA	gene	66644565	66689596	-	ENSMUSG00000030509.17	Asb7	protein_coding	0.993839268163035	0.999276081996684	0.9608617898388
chr16	HAVANA	gene	5008730	5013553	-	ENSMUSG00000022540.16	Rogdi	protein_coding	0.993840181273934	0.997119104873907	0.961068204293567
chr17	HAVANA	gene	34616662	34628510	-	ENSMUSG00000015474.16	Ppt2	protein_coding	0.993840291064964	0.995745708733662	0.970053536454648
chr7	HAVANA	gene	16098458	16117975	+	ENSMUSG00000006024.13	Napa	protein_coding	0.993840324145719	0.99815848828725	0.958597814254424
chr14	HAVANA	gene	20455260	20480133	-	ENSMUSG00000021814.17	Anxa7	protein_coding	0.993840377743355	0.997790632386869	0.962433571973939
chr6	ENSEMBL	gene	47453776	47454320	-	ENSMUSG00000052241.3	A930035D04Rik	pseudogene	0.993840474490564	0.998740996327588	NA
chr2	HAVANA	gene	39194354	39226451	-	ENSMUSG00000026753.5	Ppp6c	protein_coding	0.993841181015441	0.976533327144383	0.994006249211643
chr2	HAVANA	gene	132846666	132866785	+	ENSMUSG00000027357.16	Crls1	protein_coding	0.993842820473512	0.998133882181117	0.960439601424919
chr5	HAVANA	gene	15524456	15529222	-	ENSMUSG00000106445.1	RP24-152F23.3	protein_coding	0.993842898656272	NA	NA
